1;309;0;20
2;309;0;20
3;309;0;19
4;309;0;18
5;309;0;18
6;309;0;20
7;309;0;16
8;309;0;17
9;309;0;15
10;309;0;16
11;309;0;17
12;309;0;16
13;309;0;20
14;309;0;17
15;309;0;16
16;309;0;14
17;309;0;18
18;309;0;14
19;309;0;19
20;309;0;17
21;309;0;14
22;309;0;24
23;309;0;17
24;284;0;17
25;309;0;16
26;309;0;16
27;309;0;18
28;309;0;19
29;309;0;17
30;284;0;22
31;309;0;13
32;309;0;23
33;309;0;14
34;309;0;15
35;284;0;15
36;284;0;15
37;309;0;16
38;309;0;22
39;309;0;20
40;309;0;17
41;309;0;22
42;309;0;12
43;309;0;19
44;309;0;18
45;309;0;14
46;309;0;18
47;309;0;17
48;284;0;17
49;309;0;18
50;309;0;24
51;309;0;14
52;309;0;24
53;309;0;19
54;309;0;16
55;309;0;12
56;277;0;15
57;284;0;18
58;284;0;13
59;309;0;17
60;309;0;20
61;309;0;10
62;277;0;25
63;276;0;16
64;309;0;26
65;309;0;27
66;309;0;27
67;309;0;17
68;309;0;16
69;309;0;22
70;284;0;14
71;309;0;21
72;309;0;22
73;309;0;17
74;309;0;36
75;284;0;28
76;284;0;29
77;309;0;28
78;284;0;19
79;309;0;24
80;309;0;12
81;309;0;29
82;284;0;21
83;309;0;12
84;309;0;49
85;309;0;21
86;309;0;18
87;309;0;33
88;284;0;25
89;309;0;24
90;309;0;17
91;309;0;12
92;309;0;15
93;276;0;8
94;277;0;30
95;277;0;14
96;269;0;28
97;309;0;19
98;284;0;25
99;284;0;14
100;284;0;23
101;309;0;30
102;309;0;20
103;284;0;13
104;309;0;25
105;309;0;12
106;284;0;21
107;277;0;20
108;309;0;19
109;309;0;16
110;276;0;16
111;309;0;42
112;277;0;20
113;265;0;15
114;309;0;9
115;309;0;28
116;309;0;25
117;309;0;23
118;309;0;28
119;284;0;28
120;309;0;35
121;269;0;20
122;309;0;31
123;284;0;27
124;284;0;20
125;263;0;24
126;277;0;15
127;309;0;31
128;284;0;24
129;309;0;38
130;309;0;27
131;276;0;21
132;284;0;14
133;309;0;19
134;258;0;11
135;284;0;20
136;309;0;29
137;266;0;4
138;284;0;17
139;284;0;19
140;309;0;12
141;309;0;15
142;309;0;14
143;284;0;25
144;251;0;17
145;309;0;14
146;284;0;32
147;269;0;32
148;309;0;33
149;277;0;25
150;309;0;30
151;277;0;18
152;309;0;17
153;277;0;16
154;269;0;48
155;277;0;9
156;284;0;52
157;276;0;14
158;252;0;6
159;284;0;27
160;309;0;21
161;258;0;12
162;265;0;30
163;263;0;12
164;284;0;12
165;309;0;15
166;265;0;16
167;284;0;18
168;284;0;8
169;277;0;43
170;309;0;43
171;309;0;30
172;234;0;22
173;309;0;12
174;276;0;63
175;309;0;42
176;309;0;33
177;309;0;47
178;309;0;27
179;251;0;28
180;263;0;15
181;236;0;11
182;309;0;21
183;309;0;44
184;244;0;4
185;284;0;28
186;252;0;7
187;309;0;29
188;284;0;24
189;309;0;37
190;276;0;15
191;309;0;67
192;265;0;13
193;276;0;30
194;309;0;5
195;244;0;0
196;309;0;21
197;309;0;17
198;252;0;32
199;309;0;39
200;258;0;16
